#======================================================================#
# material, density, radius, mass, temperature, pressure, height, time #
#           (kg/m^3)   (m)   (kg)      (K)        (Pa)     (m)     (s) #
#======================================================================#
iron,7874,0.005,4.1228e-03,289.5,102090, 855, 22.5
iron,7874,0.005,4.1228e-03,306.6,102540, 945, 24.5
iron,7874,0.005,4.1228e-03,305.2,100836, 771, 20.7
iron,7874,0.005,4.1228e-03,286.5, 99283, 573, 16.1
iron,7874,0.005,4.1228e-03,305.0, 99546, 702, 20.0
iron,7874,0.005,4.1228e-03,290.8,101749, 980, 25.4
iron,7874,0.005,4.1228e-03,301.0,104169, 893, 24.1
iron,7874,0.005,4.1228e-03,288.1,104847, 761, 22.2
iron,7874,0.005,4.1228e-03,297.3, 99872, 702, 19.4
iron,7874,0.005,4.1228e-03,294.2,102693, 787, 21.2
iron,7874,0.005,4.1228e-03,294.4, 99609, 619, 18.8
iron,7874,0.005,4.1228e-03,294.4,101826, 651, 18.0
iron,7874,0.005,4.1228e-03,294.5,103446, 855, 22.5
iron,7874,0.005,4.1228e-03,275.0, 92117, 543, 14.6
iron,7874,0.005,4.1228e-03,299.5,100045, 855, 23.8
iron,7874,0.005,4.1228e-03,283.0, 98482, 848, 23.0
iron,7874,0.005,4.1228e-03,316.6,102033, 612, 18.5
iron,7874,0.005,4.1228e-03,308.9,102074, 577, 16.6
iron,7874,0.005,4.1228e-03,301.2, 98041, 791, 21.3
iron,7874,0.005,4.1228e-03,293.5, 93447, 905, 23.8
iron,7874,0.005,4.1228e-03,304.1, 95650, 664, 17.5
iron,7874,0.005,4.1228e-03,288.5,103264, 730, 21.3
iron,7874,0.005,4.1228e-03,257.9, 99916, 969, 28.2
iron,7874,0.005,4.1228e-03,294.4,102755, 861, 23.0
iron,7874,0.005,4.1228e-03,286.5, 98076, 669, 20.2
iron,7874,0.005,4.1228e-03,288.0,100795, 735, 21.3
iron,7874,0.005,4.1228e-03,291.8, 99188, 606, 17.7
iron,7874,0.005,4.1228e-03,290.2, 98107, 851, 22.1
iron,7874,0.005,4.1228e-03,285.1, 97636, 854, 21.8
iron,7874,0.005,4.1228e-03,297.6,101171, 948, 25.9
iron,7874,0.005,4.1228e-03,284.5,102246, 524, 15.1
iron,7874,0.005,4.1228e-03,297.0,105002, 583, 18.0
iron,7874,0.005,4.1228e-03,288.7,101087, 635, 17.1
iron,7874,0.005,4.1228e-03,294.1, 96470, 627, 16.7
iron,7874,0.005,4.1228e-03,278.1,101446, 868, 24.2
iron,7874,0.005,4.1228e-03,303.1, 99226, 976, 26.0
iron,7874,0.005,4.1228e-03,290.0,103267, 891, 24.1
iron,7874,0.005,4.1228e-03,284.1, 95876, 926, 23.3
iron,7874,0.005,4.1228e-03,299.7, 96770, 737, 19.4
iron,7874,0.005,4.1228e-03,311.0, 99939, 988, 26.7
iron,7874,0.005,4.1228e-03,285.7,100815, 898, 23.4
iron,7874,0.005,4.1228e-03,299.9,101281, 806, 20.7
iron,7874,0.005,4.1228e-03,297.0, 96742, 734, 20.5
iron,7874,0.005,4.1228e-03,285.9,100371, 778, 22.2
iron,7874,0.005,4.1228e-03,283.1,104754, 675, 19.0
iron,7874,0.005,4.1228e-03,304.4,101233, 985, 26.0
iron,7874,0.005,4.1228e-03,295.5, 99265, 970, 27.1
iron,7874,0.005,4.1228e-03,298.0,100230, 563, 15.2
iron,7874,0.005,4.1228e-03,296.9, 99678, 948, 24.4
iron,7874,0.005,4.1228e-03,279.8,100070, 830, 22.3
iron,7874,0.005,4.1228e-03,298.7, 98491, 694, 19.9
iron,7874,0.005,4.1228e-03,290.5, 99436, 961, 23.2
iron,7874,0.005,4.1228e-03,274.7,100376, 626, 17.6
iron,7874,0.005,4.1228e-03,279.0, 95533, 524, 14.7
iron,7874,0.005,4.1228e-03,284.4,100895, 630, 18.0
iron,7874,0.005,4.1228e-03,274.8,100689, 548, 14.6
iron,7874,0.010,3.2983e-02,305.2,100272, 924, 20.1
iron,7874,0.010,3.2983e-02,296.3,106401, 684, 17.0
iron,7874,0.010,3.2983e-02,272.6, 99950, 553, 13.3
iron,7874,0.010,3.2983e-02,289.2, 97710, 954, 21.2
iron,7874,0.010,3.2983e-02,296.6, 99195, 720, 14.9
iron,7874,0.010,3.2983e-02,306.0, 98991, 693, 14.8
iron,7874,0.010,3.2983e-02,300.2,104047, 537, 14.3
iron,7874,0.010,3.2983e-02,295.7,103903, 955, 19.6
iron,7874,0.010,3.2983e-02,272.4,100142, 598, 13.7
iron,7874,0.010,3.2983e-02,288.6, 97759, 870, 18.7
iron,7874,0.010,3.2983e-02,271.0,102045, 611, 13.7
iron,7874,0.010,3.2983e-02,306.7, 98957, 661, 15.2
iron,7874,0.010,3.2983e-02,297.1, 99222, 747, 16.1
iron,7874,0.010,3.2983e-02,284.1, 98461, 809, 16.5
iron,7874,0.010,3.2983e-02,298.5, 98479, 518, 12.5
iron,7874,0.010,3.2983e-02,292.4,101059, 704, 16.0
iron,7874,0.010,3.2983e-02,283.1,101913, 796, 17.8
iron,7874,0.010,3.2983e-02,291.4,101348, 732, 16.2
iron,7874,0.010,3.2983e-02,293.9,100096, 704, 16.3
iron,7874,0.010,3.2983e-02,290.1,102106, 545, 13.3
iron,7874,0.010,3.2983e-02,285.0,101696, 628, 14.2
iron,7874,0.010,3.2983e-02,286.4,100596, 793, 18.4
iron,7874,0.010,3.2983e-02,288.6, 98240, 558, 13.5
iron,7874,0.010,3.2983e-02,315.1, 93669, 570, 12.7
iron,7874,0.010,3.2983e-02,275.0, 98549, 553, 11.8
iron,7874,0.010,3.2983e-02,300.9, 99896, 776, 16.0
iron,7874,0.010,3.2983e-02,300.6,100778, 865, 18.3
iron,7874,0.010,3.2983e-02,288.1, 96098, 924, 19.6
iron,7874,0.010,3.2983e-02,292.9, 98378, 496, 12.1
iron,7874,0.010,3.2983e-02,298.4,106130, 748, 17.8
iron,7874,0.010,3.2983e-02,294.7, 96386, 571, 13.8
iron,7874,0.010,3.2983e-02,306.8, 93979, 493, 13.3
iron,7874,0.010,3.2983e-02,281.8, 96438, 510, 12.8
iron,7874,0.010,3.2983e-02,309.4, 98581, 665, 14.9
iron,7874,0.010,3.2983e-02,290.8, 97917, 857, 18.8
iron,7874,0.010,3.2983e-02,298.2, 99352, 891, 19.4
iron,7874,0.010,3.2983e-02,309.3, 99794, 873, 19.1
iron,7874,0.010,3.2983e-02,297.6, 99248, 772, 16.3
iron,7874,0.010,3.2983e-02,296.2, 99797, 586, 13.2
iron,7874,0.010,3.2983e-02,284.4, 97149, 917, 20.4
iron,7874,0.010,3.2983e-02,306.9, 98966, 901, 18.9
iron,7874,0.010,3.2983e-02,291.3,101870, 793, 17.0
iron,7874,0.010,3.2983e-02,287.6,103752, 999, 21.0
iron,7874,0.010,3.2983e-02,294.1, 99082, 549, 11.4
iron,7874,0.010,3.2983e-02,292.3,102734, 897, 20.1
iron,7874,0.010,3.2983e-02,299.2,103066, 939, 20.4
iron,7874,0.010,3.2983e-02,263.6,106434, 869, 18.5
iron,7874,0.010,3.2983e-02,289.0,101159, 653, 14.6
iron,7874,0.010,3.2983e-02,304.4, 98577, 512, 12.2
iron,7874,0.010,3.2983e-02,277.0,100271, 688, 15.0
iron,7874,0.010,3.2983e-02,276.1,101147, 972, 20.4
iron,7874,0.010,3.2983e-02,287.7,100079, 940, 20.0
iron,7874,0.010,3.2983e-02,280.9, 99900, 559, 15.4
iron,7874,0.010,3.2983e-02,300.8,101006, 668, 14.1
iron,7874,0.010,3.2983e-02,296.4, 95310, 594, 14.9
iron,7874,0.010,3.2983e-02,294.0,100790, 790, 17.9
iron,7874,0.010,3.2983e-02,312.7,101422, 944, 19.4
iron,7874,0.010,3.2983e-02,288.7, 95390, 868, 17.7
iron,7874,0.010,3.2983e-02,290.1, 97702, 776, 17.6
iron,7874,0.010,3.2983e-02,294.6,102094, 984, 19.0
iron,7874,0.010,3.2983e-02,296.2,100228, 978, 20.7
iron,7874,0.010,3.2983e-02,289.9, 98693, 894, 21.1
iron,7874,0.010,3.2983e-02,292.7,102817, 564, 14.2
iron,7874,0.010,3.2983e-02,297.7, 98039, 636, 15.2
iron,7874,0.010,3.2983e-02,289.1,105729, 797, 19.1
iron,7874,0.010,3.2983e-02,276.1, 99319, 518, 11.9
iron,7874,0.010,3.2983e-02,293.0, 97599, 537, 13.7
iron,7874,0.010,3.2983e-02,285.7, 97956, 776, 16.5
iron,7874,0.010,3.2983e-02,296.5,103701, 886, 17.8
iron,7874,0.010,3.2983e-02,292.1, 98911, 633, 16.6
iron,7874,0.010,3.2983e-02,304.9,104006, 565, 10.9
iron,7874,0.010,3.2983e-02,290.3, 99015, 942, 18.2
iron,7874,0.010,3.2983e-02,304.0,105499, 920, 18.5
iron,7874,0.010,3.2983e-02,286.3,104828, 818, 17.4
iron,7874,0.010,3.2983e-02,278.0,102476, 845, 18.9
iron,7874,0.010,3.2983e-02,290.0,102900, 538, 13.4
iron,7874,0.010,3.2983e-02,279.6, 95248, 809, 16.3
iron,7874,0.010,3.2983e-02,294.1,103670, 609, 13.6
iron,7874,0.010,3.2983e-02,292.0,102035, 724, 17.2
iron,7874,0.010,3.2983e-02,297.9, 96494, 974, 21.1
iron,7874,0.010,3.2983e-02,268.8, 98856, 863, 19.9
iron,7874,0.010,3.2983e-02,296.7, 95415, 563, 12.2
iron,7874,0.010,3.2983e-02,276.6,101726, 844, 20.5
iron,7874,0.010,3.2983e-02,302.7, 95653, 578, 14.7
iron,7874,0.010,3.2983e-02,282.2,104782, 544, 12.8
iron,7874,0.010,3.2983e-02,294.8, 96790, 528, 12.5
iron,7874,0.010,3.2983e-02,304.0, 97102, 676, 13.9
iron,7874,0.010,3.2983e-02,292.7, 93364, 830, 17.0
iron,7874,0.010,3.2983e-02,276.9, 96994, 853, 15.9
iron,7874,0.010,3.2983e-02,308.3, 97917, 896, 19.2
iron,7874,0.010,3.2983e-02,310.9, 97867, 556, 13.8
iron,7874,0.010,3.2983e-02,303.0,104038, 953, 19.6
iron,7874,0.010,3.2983e-02,282.7,101986, 541, 12.5
iron,7874,0.010,3.2983e-02,293.6, 93704, 875, 18.7
iron,7874,0.010,3.2983e-02,273.9, 97624, 733, 17.1
iron,7874,0.010,3.2983e-02,295.5, 97721, 748, 15.1
iron,7874,0.010,3.2983e-02,304.8,101572, 540, 11.6
iron,7874,0.010,3.2983e-02,294.6,100541, 485, 12.8
iron,7874,0.010,3.2983e-02,289.7,104260, 526, 13.1
iron,7874,0.010,3.2983e-02,279.8,105495, 531, 14.3
iron,7874,0.010,3.2983e-02,290.2, 97448, 971, 20.3
iron,7874,0.010,3.2983e-02,291.4,106273, 824, 18.6
iron,7874,0.010,3.2983e-02,304.5, 98858, 642, 13.8
iron,7874,0.010,3.2983e-02,291.2, 99664, 559, 14.9
iron,7874,0.010,3.2983e-02,300.8,100938, 596, 14.5
iron,7874,0.010,3.2983e-02,286.6,101518, 789, 15.0
iron,7874,0.010,3.2983e-02,288.8, 97362, 816, 17.7
iron,7874,0.010,3.2983e-02,291.1, 95070, 617, 13.5
iron,7874,0.010,3.2983e-02,300.7,100862, 574, 14.7
iron,7874,0.010,3.2983e-02,304.7,102122, 862, 18.6
iron,7874,0.010,3.2983e-02,295.1,102357, 862, 18.4
iron,7874,0.010,3.2983e-02,301.7, 99649, 856, 17.7
iron,7874,0.010,3.2983e-02,297.5, 96620, 694, 15.0
iron,7874,0.010,3.2983e-02,290.6, 94085, 932, 18.4
iron,7874,0.010,3.2983e-02,288.2, 99910, 518, 13.6
iron,7874,0.010,3.2983e-02,302.9,102666, 684, 16.6
iron,7874,0.010,3.2983e-02,303.2,102331, 625, 13.5
iron,7874,0.010,3.2983e-02,292.7,102355, 846, 19.8
iron,7874,0.010,3.2983e-02,300.8,102494, 518, 12.8
iron,7874,0.010,3.2983e-02,285.5, 99802, 850, 17.6
iron,7874,0.010,3.2983e-02,290.1, 95916, 732, 17.5
iron,7874,0.010,3.2983e-02,277.4, 98895, 916, 19.7
iron,7874,0.010,3.2983e-02,293.9, 97471, 931, 19.6
iron,7874,0.010,3.2983e-02,303.9, 98953, 533, 12.0
iron,7874,0.010,3.2983e-02,281.1,100856, 640, 15.9
iron,7874,0.010,3.2983e-02,300.6, 95091, 974, 20.9
iron,7874,0.010,3.2983e-02,307.8,106384, 849, 15.3
iron,7874,0.010,3.2983e-02,302.1, 99803, 567, 13.1
iron,7874,0.010,3.2983e-02,285.5,101965, 612, 15.7
iron,7874,0.010,3.2983e-02,299.0, 99555, 840, 19.0
iron,7874,0.010,3.2983e-02,278.1, 99344, 860, 20.8
iron,7874,0.010,3.2983e-02,316.4,103499, 960, 19.2
iron,7874,0.010,3.2983e-02,288.8, 98476, 990, 19.5
iron,7874,0.010,3.2983e-02,284.4, 98009, 926, 20.1
iron,7874,0.010,3.2983e-02,300.2,102676, 679, 15.3
iron,7874,0.010,3.2983e-02,275.0, 94150, 584, 13.4
iron,7874,0.010,3.2983e-02,279.5,103738, 726, 17.3
iron,7874,0.010,3.2983e-02,292.3,102243, 600, 16.0
iron,7874,0.010,3.2983e-02,286.2,NaN, 714, 17.4
iron,7874,0.010,3.2983e-02,297.2,102132, 850, 19.9
iron,7874,0.010,3.2983e-02,287.0, 99981, 662, 16.1
iron,7874,0.010,3.2983e-02,288.0,103601, 950, 19.5
iron,7874,0.010,3.2983e-02,298.7, 99184, 569, 12.3
iron,7874,0.010,3.2983e-02,273.8, 98679, 707, 17.0
iron,7874,0.010,3.2983e-02,309.4, 97049, 759, 17.2
iron,7874,0.010,3.2983e-02,298.3, 99624, 584, 15.8
iron,7874,0.010,3.2983e-02,309.3,100786, 907, 19.2
iron,7874,0.010,3.2983e-02,305.4,105500, 868, 17.5
iron,7874,0.010,3.2983e-02,299.2,101423, 841, 18.0
iron,7874,0.010,3.2983e-02,297.5,100755, 691, 16.0
iron,7874,0.010,3.2983e-02,283.3,100274, 746, 16.5
iron,7874,0.010,3.2983e-02,298.6,103799, 998, 20.1
iron,7874,0.010,3.2983e-02,280.8,102852, 743, 15.9
iron,7874,0.010,3.2983e-02,276.3,103459, 788, 17.1
iron,7874,0.010,3.2983e-02,290.6, 98280, 638, 14.9
iron,7874,0.010,3.2983e-02,271.2, 97797, 837, 18.6
iron,7874,0.010,3.2983e-02,268.7,100756, 899, 20.0
iron,7874,0.010,3.2983e-02,314.6, 98929, 745, 13.9
iron,7874,0.010,3.2983e-02,284.5, 97110, 523, 13.3
iron,7874,0.010,3.2983e-02,313.1, 96337, 730, 15.2
iron,7874,0.010,3.2983e-02,282.0, 96640, 771, 15.6
iron,7874,0.010,3.2983e-02,301.6,102618, 963, 20.5
iron,7874,0.010,3.2983e-02,289.2,102696, 651, 16.0
iron,7874,0.010,3.2983e-02,292.8, 98560, 853, 18.8
iron,7874,0.010,3.2983e-02,284.1, 94871, 570, 14.5
iron,7874,0.010,3.2983e-02,297.7, 97297, 786, 16.1
iron,7874,0.010,3.2983e-02,304.5,102310, 787, 16.6
iron,7874,0.010,3.2983e-02,295.0,103538, 607, 17.2
iron,7874,0.010,3.2983e-02,273.1, 98339, 588, 14.9
iron,7874,0.010,3.2983e-02,289.9, 98952, 606, 14.2
iron,7874,0.010,3.2983e-02,325.0, 95901, 610, 13.4
iron,7874,0.010,3.2983e-02,304.8,102499, 969, 19.9
iron,7874,0.010,3.2983e-02,291.1,103431, 708, 16.2
iron,7874,0.010,3.2983e-02,295.3,100534, 596, 14.0
iron,7874,0.010,3.2983e-02,301.6, 97126, 509, 12.0
iron,7874,0.010,3.2983e-02,306.0, 97174, 959, 21.4
iron,7874,0.010,3.2983e-02,308.8,102614, 971, 21.5
iron,7874,0.010,3.2983e-02,295.3, 98019, 591, 14.1
iron,7874,0.010,3.2983e-02,289.2,101908, 703, 17.8
iron,7874,0.010,3.2983e-02,304.4, 98590, 581, 13.0
iron,7874,0.010,3.2983e-02,290.8, 98716, 706, 15.6
iron,7874,0.010,3.2983e-02,293.8,103824, 854, 18.5
iron,7874,0.010,3.2983e-02,307.8,101693, 770, 15.5
iron,7874,0.010,3.2983e-02,296.8,101215, 847, 18.9
iron,7874,0.010,3.2983e-02,288.4,101062, 731, 16.9
iron,7874,0.010,3.2983e-02,296.4, 97845, 543, 11.4
iron,7874,0.010,3.2983e-02,296.7, 97897, 655, 16.3
iron,7874,0.010,3.2983e-02,284.9,100013, 880, 18.2
iron,7874,0.010,3.2983e-02,309.6,100818, 894, 18.1
iron,7874,0.010,3.2983e-02,311.1,101149, 516, 12.2
iron,7874,0.010,3.2983e-02,296.6, 96538, 702, 15.0
iron,7874,0.010,3.2983e-02,307.7,101605, 742, 16.5
iron,7874,0.010,3.2983e-02,290.4, 99962, 834, 16.7
iron,7874,0.010,3.2983e-02,312.8,100959, 681, 14.6
iron,7874,0.010,3.2983e-02,285.0, 99319, 560, 14.6
iron,7874,0.010,3.2983e-02,297.0,105352, 521, 12.4
iron,7874,0.010,3.2983e-02,289.7,100619, 790, 17.8
iron,7874,0.010,3.2983e-02,302.2, 93733, 918, 19.0
iron,7874,0.010,3.2983e-02,291.5,102250, 535, 13.9
iron,7874,0.010,3.2983e-02,316.3,104151, 861, 18.6
iron,7874,0.015,1.1132e-01,290.8,105034, 911, 18.3
iron,7874,0.015,1.1132e-01,290.0, 98259, 571, 12.4
iron,7874,0.015,1.1132e-01,286.1, 99121, 622, 12.3
iron,7874,0.015,1.1132e-01,306.1, 97314, 957, 17.5
iron,7874,0.015,1.1132e-01,289.6, 99360, 499, 10.6
iron,7874,0.015,1.1132e-01,282.4,102901, 866, 17.3
iron,7874,0.015,1.1132e-01,317.3,101115, 661, 14.0
iron,7874,0.015,1.1132e-01,301.4, 98624, 941, 18.0
iron,7874,0.015,1.1132e-01,285.1,103760, 862, 16.9
iron,7874,0.015,1.1132e-01,299.1, 96786, 692, 14.4
iron,7874,0.015,1.1132e-01,290.1,102241, 629, 14.8
iron,7874,0.015,1.1132e-01,275.5,102627, 742, 16.4
iron,7874,0.015,1.1132e-01,298.8,104073, 800, 15.0
